VIN ,/OUT (V),/IN (V)
0.000,1.200,0.000
24.00E-3,1.200,24.00E-3
48.00E-3,1.200,48.00E-3
72.00E-3,1.200,72.00E-3
96.00E-3,1.199,96.00E-3
120.0E-3,1.199,120.0E-3
144.0E-3,1.198,144.0E-3
168.0E-3,1.197,168.0E-3
192.0E-3,1.195,192.0E-3
216.0E-3,1.191,216.0E-3
240.0E-3,1.187,240.0E-3
264.0E-3,1.181,264.0E-3
288.0E-3,1.174,288.0E-3
312.0E-3,1.165,312.0E-3
336.0E-3,1.153,336.0E-3
360.0E-3,1.140,360.0E-3
384.0E-3,1.124,384.0E-3
408.0E-3,1.105,408.0E-3
432.0E-3,1.081,432.0E-3
456.0E-3,1.051,456.0E-3
480.0E-3,1.011,480.0E-3
504.0E-3,948.6E-3,504.0E-3
528.0E-3,840.3E-3,528.0E-3
552.0E-3,693.8E-3,552.0E-3
576.0E-3,537.6E-3,576.0E-3
600.0E-3,387.9E-3,600.0E-3
624.0E-3,265.3E-3,624.0E-3
648.0E-3,189.9E-3,648.0E-3
672.0E-3,144.6E-3,672.0E-3
696.0E-3,113.3E-3,696.0E-3
720.0E-3,89.60E-3,720.0E-3
744.0E-3,70.96E-3,744.0E-3
768.0E-3,55.89E-3,768.0E-3
792.0E-3,43.52E-3,792.0E-3
816.0E-3,33.30E-3,816.0E-3
840.0E-3,24.90E-3,840.0E-3
864.0E-3,18.05E-3,864.0E-3
888.0E-3,12.61E-3,888.0E-3
912.0E-3,8.417E-3,912.0E-3
936.0E-3,5.344E-3,936.0E-3
960.0E-3,3.217E-3,960.0E-3
984.0E-3,1.839E-3,984.0E-3
1.008,999.1E-6,1.008
1.032,516.6E-6,1.032
1.056,253.4E-6,1.056
1.080,117.6E-6,1.080
1.104,51.81E-6,1.104
1.128,21.95E-6,1.128
1.152,9.259E-6,1.152
1.176,4.168E-6,1.176
1.200,2.244E-6,1.200
